Topic,Scenario_no,code,Title,PoliticalFrame,Text,Against,Neutral,For
Climate change,3b,s6_n,Transición hacia energías renovables,Non-political,"Un grupo de vecinos propone cambiar el suministro eléctrico del barrio a un proveedor de energía renovable.Son un grupo de personas que han investigado distintas opciones y están convencidas de haber encontrado un proveedor mejor.Aunque esto podría reducir la huella de carbono de la comunidad, es más caro que el proveedor actual.Algunos argumentan que la sostenibilidad merece la pena, mientras que otros creen que obligar a todos a pagar facturas de electricidad más altas es injusto. Algunos quieren encontrar el término medio de dejar que cada uno elija lo que quiera y está bien tener proveedores distintos.",No debemos cambiar a un proveedor de energía renovable.,Deberíamos permitir a los residentes tener proveedores de energía independientes.,Deberíamos cambiarnos a un proveedor de energía renovable.
Climate change,3b,s6_p,Transición hacia energías renovables,Political,"Un grupo de vecinos propone cambiar el suministro eléctrico del barrio a un proveedor de energías renovables. Son un grupo de activistas climáticos que han investigado distintas opciones y están convencidos de que este proveedor sería mejor para el clima. Aunque esto podría reducir la huella de carbono de la comunidad, es más caro que el proveedor actual. Algunos argumentan que la sostenibilidad merece la pena, mientras que otros creen que obligar a todos a pagar facturas de electricidad más altas es injusto. Algunos quieren encontrar el término medio de dejar que cada uno elija lo que quiera y está bien tener proveedores distintos.",No debemos cambiar a un proveedor de energía renovable.,Deberíamos permitir a los residentes tener proveedores de energía independientes.,Deberíamos cambiarnos a un proveedor de energía renovable.
Surveillance or privacy,4a,s7_n,Instalación de cámaras de seguridad,Non-political,Algunos vecinos plantean su preocupación por no sentirse seguros tras los recientes robos que han sufrido varios vecinos en el último mes. Proponen contratar a una empresa para que instale y mantenga cámaras de seguridad alrededor del barrio para que nos sintamos más seguros. Algunos vecinos no están de acuerdo ya que la instalación de cámaras de seguridad puede suponer un coste excesivo en el futuro para su mantenimiento. Otros vecinos prefieren hacer un mapa de los lugares específicos que son más propensos a los robos y sólo instalar en esos lugares limitados.,No deberíamos instalar cámaras de seguridad.,Deberíamos instalar cámaras de seguridad en lugares limitados.,Deberíamos instalar cámaras de seguridad en todas partes.
Surveillance or privacy,4a,s7_p,Instalación de cámaras de seguridad,Political,Algunos vecinos plantean su preocupación por no sentirse seguros tras los recientes robos que han sufrido varios vecinos en el último mes. Proponen contratar a una empresa para que instale y mantenga cámaras de seguridad rodeando el barrio para que nos sintamos más seguros. Algunos vecinos no están de acuerdo ya que instalar cámaras de seguridad puede invadir la privacidad y hacer que los vecinos se sientan vigilados todo el tiempo. Otros vecinos prefieren hacer un mapa de los lugares específicos que son más propensos a los robos e instalar cámaras sólo en esos lugares limitados.,No deberíamos instalar cámaras de seguridad.,Deberíamos instalar cámaras de seguridad en lugares limitados.,Deberíamos instalar cámaras de seguridad en todas partes.
Gender inclusion,5a,s8_n,Renovación de baños antiguos,Non-political,"Su barrio tiene un parque principal con aseos públicos que llevan mucho tiempo sin mantenimiento. Algunos se plantean destinar un presupuesto a renovarlos y mejorarlos para que sean más higiénicos y cómodos para todos. Sin embargo, algunos argumentan que el fondo debería priorizarse en otro sitio, ya que de todos modos podemos volver a casa a por los aseos. Otros vecinos apoyan la renovación sin ninguna mejora.",No debemos renovar ni mejorar los aseos públicos.,Sólo deberíamos renovar los aseos públicos.,Deberíamos renovar y mejorar los aseos públicos.
Gender inclusion,5a,s8_p,Renovación de baños antiguos,Political,"Tu barrio tiene un parque principal con aseos públicos que llevan mucho tiempo sin mantenimiento. Algunos se plantean destinar un presupuesto a renovarlos y mejorarlos para que sean más higiénicos y para todos los sexos. Sin embargo, algunos argumentan que el fondo debería priorizarse en otro sitio, ya que de todos modos podemos volver a casa a por los aseos. Otros vecinos apoyan la renovación sin ninguna mejora.",No debemos renovar ni mejorar los aseos públicos.,Sólo deberíamos renovar los aseos públicos.,Deberíamos renovar y mejorar los aseos públicos.
Gender inclusion,5b,s9_n,Colocación de adornos en espacios públicos,Non-political,Unos vecinos discuten si está bien decorar sus casas con adornos y banderas que señalen sus valores. Estos vecinos son ávidos seguidores de un club de fútbol local. Algunos están en contra porque decorar a su gusto hará que el vecindario parezca desorganizado. Otros lo consideran positivo porque fomenta la libertad de expresión. Varios vecinos señalan que hay que discutirlo caso por caso.,No deberíamos permitir la exhibición pública de condecoraciones y banderas.,Deberíamos discutirlo caso por caso.,Deberíamos permitir la exhibición pública de condecoraciones y banderas.
Gender inclusion,5b,s9_p,Colocación de adornos en espacios públicos,Political,Algunos vecinos están discutiendo si está bien decorar sus casas con adornos y banderas que señalen sus valores. Estos vecinos son ávidos defensores de los derechos LGBTQ+. Algunos están en contra porque decorar a su gusto hará que el vecindario parezca desorganizado. Otros lo consideran positivo porque fomenta la libertad de expresión. Varios vecinos señalan que hay que discutir caso por caso.,No deberíamos permitir la exhibición pública de condecoraciones y banderas.,Deberíamos discutirlo caso por caso.,Deberíamos permitir la exhibición pública de condecoraciones y banderas.
Minority Group,6a,s10_n,Fondo comunitario de emergencia,Non-political,"Algunos de sus vecinos experimentaron el despido de sus empresas sin un plan de contingencia. Varios vecinos proponen crear un fondo de emergencia comunitario. Todos contribuyen y el dinero se utilizará para ayudar a los vecinos que se enfrenten a crisis financieras inesperadas de este tipo, que pueden ocurrirle a todos en tu barrio. Algunos vecinos lo apoyan, ya que permite a la gente ayudarse mutuamente. Algunos están en contra debido a las posibles complicaciones para decidir quién reúne los requisitos para el fondo y prefieren no convertir el problema de un individuo en el problema de la comunidad. Varios vecinos señalan que es necesario discutir alternativas para ayudar a los vecinos que se enfrentan a este tipo de emergencias.",No deberíamos tener el fondo de emergencia.,Deberíamos discutir otras formas de ayudar a los vecinos.,Todos deberíamos contribuir al fondo de emergencia.
Minority Group,6a,s10_p,Fondo comunitario de emergencia,Political,"Algunos de sus vecinos experimentaron el despido de sus empresas sin un plan de contingencia. Varios vecinos propusieron crear un fondo de emergencia comunitario. Todos contribuyen y el dinero se utilizará para ayudar a los vecinos que se enfrentan a estas crisis financieras inesperadas, que pueden ocurrirle a todo el mundo, especialmente a los de grupos desfavorecidos y minoritarios. Algunos vecinos lo apoyan porque es un paso hacia la justicia social y la equidad. Otros están en contra debido a las posibles complicaciones para decidir quién puede optar al fondo y prefieren no convertir el problema de un individuo en el problema de la comunidad. Varios vecinos señalan que es necesario debatir alternativas para ayudar a los vecinos que se enfrentan a este tipo de emergencias.",No deberíamos tener el fondo de emergencia.,Deberíamos discutir otras formas de ayudar a los vecinos.,Todos deberíamos contribuir al fondo de emergencia.
Minority Group,6b,s11_n,Dar un nuevo uso al salón de la comunidad,Non-political,"Una sala del salón comunitario está ahora vacía desde que la tienda que había allí se ha mudado del edificio. La tienda pagaba el alquiler y ese dinero se destinaba al mantenimiento del barrio. Algunos de sus vecinos quieren renovar esta sala vacía para convertirla en un espacio comunitario compartido. Cada vecino puede organizar un acto comunitario, lo que puede reforzar el sentimiento de comunidad. Sin embargo, a algunos les preocupa no utilizar realmente esa sala y prefieren esperar a que otro local quiera alquilarla. Algunos vecinos prefieren encontrar otras opciones que podamos tener a partir de la reutilización de la sala.",No debemos renovar la sala para que sea un espacio comunitario compartido.,Deberíamos discutir otras opciones.,Deberíamos renovar la sala para convertirla en un espacio comunitario compartido.
Minority Group,6b,s11_p,Dar un nuevo uso al salón de la comunidad,Political,"Una sala del salón comunitario está ahora vacía desde que la tienda que había allí se ha mudado del edificio. La tienda pagaba el alquiler y ese dinero se destinaba al mantenimiento del barrio. Algunos vecinos de un determinado grupo religioso quieren renovar esta sala vacía para convertirla en un espacio comunitario compartido. Cada vecino puede organizar un acto comunitario, lo que puede reforzar el sentimiento de comunidad. Sin embargo, a algunos les preocupa que realmente no vayan a utilizar esa sala y prefieren esperar a que otro local quiera alquilarla. Algunos vecinos prefieren encontrar otras opciones que podamos tener a partir de la reutilización de la sala.",No debemos renovar la sala para que sea un espacio comunitario compartido.,Deberíamos discutir otras opciones.,Deberíamos renovar la sala para convertirla en un espacio comunitario compartido.
Vaccination,7a,s12_n,Prevención de enfermedades transmisibles,Non-political,A algunas personas les preocupa la propagación de enfermedades transmisibles en su vecindario. Creen que todos los vecinos deberían tomar medidas para protegerse a sí mismos y a los demás del contagio. Proponen organizar un acto educativo pagado con los fondos ahorrados por la comunidad sobre cómo protegerse de las enfermedades que se propagan actualmente. Algunos vecinos se oponen porque creen que este acto no será eficaz para resolver el problema. Algunos lo consideran bueno porque ayuda a prevenir la propagación de enfermedades en el barrio. Otros vecinos señalan que es necesario aclarar los detalles del evento antes de tomar una decisión.,No debemos apoyar el acontecimiento.,Debemos discutir los detalles del acontecimiento antes de tomar una decisión.,Debemos apoyar plenamente el acontecimiento.
Vaccination,7a,s12_p,Prevención de enfermedades transmisibles,Political,A algunas personas les preocupa la propagación de enfermedades transmisibles en su vecindario. Piensan que todos los vecinos deberían tomar medidas para protegerse a sí mismos y a los demás del contagio. Proponen organizar un acto educativo pagado con los fondos ahorrados por la comunidad en el que la gente pueda vacunarse contra las enfermedades que se propagan actualmente. Algunos vecinos se oponen porque creen que este acto no será eficaz para resolver el problema. Algunos lo consideran bueno porque ayuda a prevenir la propagación de enfermedades en el barrio. Otros vecinos señalan que es necesario aclarar los detalles del evento antes de tomar una decisión.,No debemos apoyar el acontecimiento.,Debemos discutir los detalles del acontecimiento antes de tomar una decisión.,Debemos apoyar plenamente el acontecimiento.
Vaccination,7b,s13_n,Mejorar la salud de los niños,Non-political,"Algunos grupos de padres están debatiendo activamente cómo mejorar la salud de sus hijos. Están pensando en organizar un acto para las familias del barrio sobre cómo mejorar la salud de los niños eligiendo mejor los alimentos. Sin embargo, algunas familias están en contra, ya que no creen en su eficacia y prefieren ocuparse ellas mismas de sus hijos. Algunos lo consideran bueno porque ayudará a los niños a crecer sanos y fuertes. Otros vecinos señalan que hay que aclarar los detalles del evento antes de tomar una decisión.",No deberíamos celebrar el acto.,Debemos discutir los detalles del acontecimiento antes de tomar una decisión.,Debemos apoyar plenamente el acontecimiento.
Vaccination,7b,s13_p,Mejorar la salud de los niños,Political,"Algunos grupos de padres están debatiendo activamente cómo mejorar la salud de sus hijos. Están pensando en celebrar un acto para las familias del barrio sobre cómo mejorar la salud de los niños del barrio mediante la vacunación. Sin embargo, algunas familias están en contra, ya que no creen en su eficacia y prefieren cuidar ellas mismas de sus hijos. Algunos consideran que esto es bueno porque ayudará a los niños a crecer sanos y fuertes. Otros vecinos señalan que es necesario aclarar los detalles del acontecimiento antes de tomar una decisión.",No deberíamos celebrar el acto.,Debemos discutir los detalles del acontecimiento antes de tomar una decisión.,Debemos apoyar plenamente el acontecimiento.
Veganism,8a,s14_n,Organizar un evento vecinal regular,Non-political,"Algunos vecinos han propuesto organizar un evento comunitario regular, como una barbacoa, en el espacio compartido al aire libre. Con el fondo comunitario se comprarán ingredientes para compartir comunitariamente en la barbacoa. Argumentan que acercará a los residentes y creará un mayor sentimiento de comunidad. Sin embargo, a otros les preocupan las molestias y el posible desperdicio de comida, ya que la gente suele sobrestimar lo que puede comer. Algunos vecinos quieren discutir más a fondo qué comida llevar.",No deberíamos celebrar el acto comunitario.,Deberíamos discutir qué comida llevar antes de celebrar el acto comunitario.,Todos deberíamos participar en el acto comunitario.
Veganism,8a,s14_p,Organizar un evento vecinal regular,Political,"Algunos vecinos han propuesto organizar un evento comunitario regular, como una barbacoa, en el espacio compartido al aire libre. Con el fondo comunitario se comprarán ingredientes para compartir comunitariamente en la barbacoa. Argumentan que acercará a los residentes y creará un mayor sentimiento de comunidad. Sin embargo, a otros les preocupan las molestias y el posible desperdicio de comida, ya que algunos de los vecinos son veganos y no comen carne. Algunos vecinos quieren seguir debatiendo sobre qué comida llevar.",No deberíamos celebrar el acto comunitario.,Deberíamos discutir qué comida llevar antes de celebrar el acto comunitario.,Todos deberíamos participar en el acto comunitario.
Veganism,8b,s15_n,Jornada de comida saludable al aire libre,Non-political,Las familias del barrio proponen la idea de contratar a una nutricionista para que enseñe a la gente recetas sanas y prácticas para una comida al aire libre de un día de duración. Esta nutricionista es famosa por preparar comidas deliciosas y prácticas. Algunos vecinos están en contra porque será costoso y prefieren que el dinero se destine a otra cosa. Algunos vecinos quieren discutir si podemos buscar una nutricionista más barata antes de tomar una decisión.,No deberíamos celebrar este acto.,Deberíamos buscar un nutricionista más barato.,Debemos apoyar plenamente este acontecimiento.
Veganism,8b,s15_p,Jornada de comida saludable al aire libre,Political,Unas familias del barrio proponen la idea de contratar a una nutricionista para que enseñe a la gente recetas prácticas y sanas para una comida al aire libre de un día de duración. Esta nutricionista es famosa por preparar deliciosas y prácticas comidas veganas. Algunos vecinos están en contra porque será costoso y prefieren que el dinero se destine a otra cosa. Algunos vecinos quieren discutir si podemos buscar una nutricionista más barata antes de tomar una decisión.,No deberíamos celebrar este acto.,Deberíamos buscar un nutricionista más barato.,Debemos apoyar plenamente este acontecimiento.
