Topic,Scenario_no,code,Title,PoliticalFrame,Text,Against,Neutral,For
Gender inclusion,5b,s9_p,Displaying Ornaments in Public,Political,Some neighbors are discussing whether it is okay to decorate their houses using decorations and flags that signal their values. These neighbors are avid supporters of LGBTQ+ rights. Some people are against it because decorating to their own tastes will make the neighborhood look disorganized. Some consider this as a good thing because it promotes freedom of expression. Several neighbors point out that we need to discuss this on a case by case basis.,We should not allow public display of decorations and flags.,We should discuss this on a case by case basis.,We should allow public display of decorations and flags.
Minority Group,6a,s10_n,Community Emergency Fund,Non-political,"Some of your neighbors experienced being laid-off from their companies without a contingency plan. Several neighbors proposed to set up a communal emergency fund. Everyone contributes and the money will be used to help residents facing such unexpected financial crises, which can happen to everyone in your neighborhood. Some neighbors support this since it allows people to help each other. Some are against this due to potential complications to decide who qualifies for the fund and prefer not to make an individual's problem the community's problem. Several neighbors point out that we need to discuss alternatives to help neighbors facing such emergencies.",We should not have the emergency fund.,We should discuss other ways to help the neighbors.,We should all contribute to the emergency fund.
Minority Group,6a,s10_p,Community Emergency Fund,Political,"Some of your neighbors experienced being laid-off from their companies without a contingency plan. Several neighbors proposed to set up a communal emergency fund. Everyone contributes and the money will be used to help residents facing such unexpected financial crises, which can happen to everyone, especially those from disadvantaged and minority groups. Some neighbors support this since it is a step towards societal justice and equity. Some are against this due to potential complications to decide who qualifies for the fund and prefer not to make an individual's problem the community's problem. Several neighbors point out that we need to discuss alternatives to help neighbors facing such emergencies.",We should not have the emergency fund.,We should discuss other ways to help the neighbors.,We should all contribute to the emergency fund.
Minority Group,6b,s11_n,Repurposing the Community's Hall,Non-political,"A room in the community hall is now empty since the shop that was there has moved out from the building. The shop used to pay the rent and that money was allocated for the neighborhood maintenance. Some of your neighbors want to renovate this empty room to a shared community space. Every neighbor can host a community event, so it can strengthen the sense of community. However, some worry that they won't really use that room and prefer to just wait until another shop wants to rent it. Some neighbors prefer to find other options that we can have from repurposing the hall.",We should not renovate the room to be a shared community space.,We should discuss other options.,We should renovate the room to be a shared community space.
Minority Group,6b,s11_p,Repurposing the Community's Hall,Political,"A room in the community hall is now empty since the shop that was there has moved out from the building. The shop used to pay the rent and that money was allocated for the neighborhood maintenance. Some of your neighbors from a particular religious group want to renovate this empty room to a shared community space. Every neighbor can host a community event, so it can strengthen the sense of community. However, some worry that they won't really use that room and prefer to just wait until another shop wants to rent it. Some neighbors prefer to find other options that we can have from repurposing the hall.",We should not renovate the room to be a shared community space.,We should discuss other options.,We should renovate the room to be a shared community space.
Vaccination,7a,s12_n,Preventing Transmittable Disease,Non-political,Some people are concerned about the spread of transmittable diseases in their neighborhood. They think that all neighbors should take steps to protect themselves and others from infection. They are proposing to organize an educational event paid for by the community's saved funds about how people can protect themselves from the currently spreading diseases. Some neighbors are against it because they think this event will not be effective to solve the problem. Some consider this as good because it helps prevent the spread of diseases in the neighborhood. Other neighbors point out that we need to clarify the details of the event before making a decision.,We should not support the event.,We should discuss the details of the event before making a decision.,We should fully support the event.
Vaccination,7a,s12_p,Preventing Transmittable Disease,Political,Some people are concerned about the spread of transmittable diseases in their neighborhood. They think that all neighbors should take steps to protect themselves and others from infection. They are proposing to organize an educational event paid for by the community's saved funds where people can get vaccinated against the currently spreading diseases. Some neighbors are against it because they think this event will not be effective to solve the problem. Some consider this as good because it helps prevent the spread of diseases in the neighborhood. Other neighbors point out that we need to clarify the details of the event before making a decision.,We should not support the event.,We should discuss the details of the event before making a decision.,We should fully support the event.
Vaccination,7b,s13_n,Improving Children Health,Non-political,"Some groups of parents are actively discussing how to improve the health of their children. They are thinking of holding an event for families in the neighborhood about improving children's health through better food choices. Some families are against it, however, since they don't believe its effectiveness and prefer to take care of their children themselves. Some consider this as good because it will help the children grow healthy and strong. Other neighbors point out that we need to clarify the details of the event before making a decision.",We should not hold the event.,We should discuss the details of the event before making a decision.,We should fully support the event.
Vaccination,7b,s13_p,Improving Children Health,Political,"Some groups of parents are actively discussing how to improve the health of their children. They are thinking of holding an event for families in the neighborhood about improving children's health in the neighborhood through vaccination. Some families are against it, however, since they don't believe its effectiveness and prefer to take care of their children themselves. Some consider this as good because it will help the children grow healthy and strong. Other neighbors point out that we need to clarify the details of the event before making a decision.",We should not hold the event.,We should discuss the details of the event before making a decision.,We should fully support the event.
Veganism,8a,s14_n,Organizing a Regular Community Event,Non-political,"Some neighbors have proposed organizing a regular community event, such as barbecue, in the shared outdoor space. Using the community fund, we will buy ingredients to be shared communally in the barbecue. They argue it will bring residents closer and create a stronger sense of community. However, others are concerned about the inconvenience and potential food waste since people usually overestimate what they can eat. Some neighbors want to discuss further about what food to bring.",We should not have the community event.,We should discuss what food to bring before holding the community event.,We should all participate in the community event.
Veganism,8a,s14_p,Organizing a Regular Community Event,Political,"Some neighbors have proposed organizing a regular community event, such as barbecue, in the shared outdoor space. Using the community fund, we will buy ingredients to be shared communally in the barbecue. They argue it will bring residents closer and create a stronger sense of community. However, others are concerned about the inconvenience and potential food waste since some of the neighbors are vegan and don't eat meat. Some neighbors want to discuss further about what food to bring.",We should not have the community event.,We should discuss what food to bring before holding the community event.,We should all participate in the community event.
Veganism,8b,s15_n,Healthy Meal Cookout,Non-political,Families in the neighborhood propose an idea to hire a nutritionist to educate people about practical healthy recipes for a one-day cookout event. This nutritionist is famous for making delicious and practical meals. Some neighbors are against it because it will be costly and prefer the money to be allocated to something else. Some neighbors want to discuss if we can search for a cheaper nutritionist before making a decision.,We should not hold this event.,We should search for a cheaper nutritionist.,We should fully support this event.
Veganism,8b,s15_p,Healthy Meal Cookout,Political,Families in the neighborhood propose an idea to hire a nutritionist to educate people about practical healthy recipes for a one-day cookout event. This nutritionist is famous for making delicious and practical vegan meals. Some neighbors are against it because it will be costly and prefer the money to be allocated to something else. Some neighbors want to discuss if we can search for a cheaper nutritionist before making a decision.,We should not hold this event.,We should search for a cheaper nutritionist.,We should fully support this event.
