participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started_utc,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.role,player.payoff,player.id,player._payoff,player.round_number,player._role,player.scenario,player.discussion_grp,player.old_response,player.new_response,player.forced_response,player.nudge_training,player.nudge_training_two,player.nudge_training_three,player.nudge_training_text,player.correct_nudge_training,player.old_response_text,player.attention_check,player.prev_majority,player.neighbor_responses,player.subsession_id,player.group_id,player.participant_id,player.session_id,group.id_in_subsession,group.id,group.round_number,group.group_size,group.is_group_single,group.beta_50,group.anti_prop,group.group_responses,group.majority_response,group.positive_opinion,group.subsession_id,group.session_id,subsession.round_number,subsession.id,subsession.session_id,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
1,7vnaabdy,,1,49,48,Pay,MyPage,2025-10-21 19:40:41.968812,1,,,0.0,2,,0.0,49,0.0,3,,,"['q53d4hev', '708f88gj', 'ih7k9oha']",-1,-1,0,,,,,,Interview the family first,0,99,"[1, -1, 0]",3,6,1,1,2,6,3,N04,0,0,p00,"[0, -1, -1, 1]",-1,0,3,1,3,3,1,04odye62,,,,,0
2,708f88gj,,1,49,48,Pay,MyPage,2025-10-21 19:40:42.008385,1,,,0.0,3,,0.0,50,0.0,3,,,"['q53d4hev', '7vnaabdy', 'ih7k9oha']",-1,-1,0,,,,,,Interview the family first,0,99,"[1, -1, 0]",3,6,2,1,2,6,3,N04,0,0,p00,"[0, -1, -1, 1]",-1,0,3,1,3,3,1,04odye62,,,,,0
3,ih7k9oha,,1,49,48,Pay,MyPage,2025-10-21 19:40:42.020163,1,,,0.0,4,,0.0,51,0.0,3,,,"['q53d4hev', '7vnaabdy', '708f88gj']",0,1,0,,,,,,Let the family move in,0,-1,"[1, -1, -1]",3,6,3,1,2,6,3,N04,0,0,p00,"[0, -1, -1, 1]",-1,0,3,1,3,3,1,04odye62,,,,,0
4,q53d4hev,,1,49,48,Pay,MyPage,2025-10-21 19:40:42.033218,1,,,0.0,1,,0.0,52,0.0,3,,,"['7vnaabdy', '708f88gj', 'ih7k9oha']",1,0,0,,,,,,Provide help with moving in,0,-1,"[-1, -1, 0]",3,6,4,1,2,6,3,N04,0,0,p00,"[0, -1, -1, 1]",-1,0,3,1,3,3,1,04odye62,,,,,0
5,t7vyxnr4,,1,49,48,Pay,MyPage,2025-10-21 19:40:42.042573,1,,,0.0,1,,0.0,53,0.0,3,,,"['tp2122jz', 'r82af20r', '4cqra1nu']",0,-1,0,,,,,,Let the family move in,0,1,"[1, -1, 1]",3,9,5,1,3,9,3,N04,0,0,p50,"[-1, 1, 0, 0]",0,0,3,1,3,3,1,04odye62,,,,,0
6,r82af20r,,1,49,48,Pay,MyPage,2025-10-21 19:40:42.052579,1,,,0.0,3,,0.0,54,0.0,3,,,"['t7vyxnr4', 'tp2122jz', '4cqra1nu']",-1,0,0,,,,,,Interview the family first,0,1,"[0, 1, 1]",3,9,6,1,3,9,3,N04,0,0,p50,"[-1, 1, 0, 0]",0,0,3,1,3,3,1,04odye62,,,,,0
7,tp2122jz,,1,49,48,Pay,MyPage,2025-10-21 19:40:42.059728,1,,,0.0,2,,0.0,55,0.0,3,,,"['t7vyxnr4', 'r82af20r', '4cqra1nu']",1,1,0,,,,,,Provide help with moving in,0,99,"[0, -1, 1]",3,9,7,1,3,9,3,N04,0,0,p50,"[-1, 1, 0, 0]",0,0,3,1,3,3,1,04odye62,,,,,0
8,4cqra1nu,,1,49,48,Pay,MyPage,2025-10-21 19:40:42.066892,1,,,0.0,4,,0.0,56,0.0,3,,,"['t7vyxnr4', 'tp2122jz', 'r82af20r']",1,0,0,,,,,,Provide help with moving in,0,99,"[0, 1, -1]",3,9,8,1,3,9,3,N04,0,0,p50,"[-1, 1, 0, 0]",0,0,3,1,3,3,1,04odye62,,,,,0
9,90c1ebqk,,1,49,48,Pay,MyPage,2025-10-21 19:40:42.079005,1,,,0.0,2,,0.0,57,0.0,3,,,"['myznkkrl', 'v7syvx1d', 'pmsj3m0y']",-1,-1,0,,,,,,Interview the family first,0,-1,"[0, -1, -1]",3,12,9,1,4,12,3,N04,0,0,p25,"[0, -1, 0, -1]",99,0,3,1,3,3,1,04odye62,,,,,0
10,v7syvx1d,,1,49,48,Pay,MyPage,2025-10-21 19:40:42.088804,1,,,0.0,3,,0.0,58,0.0,3,,,"['myznkkrl', '90c1ebqk', 'pmsj3m0y']",-1,0,0,,,,,,Interview the family first,0,-1,"[0, -1, -1]",3,12,10,1,4,12,3,N04,0,0,p25,"[0, -1, 0, -1]",99,0,3,1,3,3,1,04odye62,,,,,0
11,myznkkrl,,1,49,48,Pay,MyPage,2025-10-21 19:40:42.098934,1,,,0.0,1,,0.0,59,0.0,3,,,"['90c1ebqk', 'v7syvx1d', 'pmsj3m0y']",0,0,0,,,,,,Let the family move in,0,-1,"[-1, -1, -1]",3,12,11,1,4,12,3,N04,0,0,p25,"[0, -1, 0, -1]",99,0,3,1,3,3,1,04odye62,,,,,0
12,pmsj3m0y,,1,49,48,Pay,MyPage,2025-10-21 19:40:42.109781,1,,,0.0,4,,0.0,60,0.0,3,,,"['myznkkrl', '90c1ebqk', 'v7syvx1d']",-1,-1,0,,,,,,Interview the family first,0,-1,"[0, -1, -1]",3,12,12,1,4,12,3,N04,0,0,p25,"[0, -1, 0, -1]",99,0,3,1,3,3,1,04odye62,,,,,0
13,7dq83p5c,,1,49,48,Pay,MyPage,2025-10-21 19:40:42.117780,1,,,0.0,2,,0.0,61,0.0,3,,,"['f9p6511c', 'dcmyqmnf', 'l5jtfbfs']",0,-1,0,,,,,,Let the family move in,0,0,"[0, 0, 1]",3,15,13,1,5,15,3,N04,0,0,p50,"[0, -1, -1, -1]",-1,0,3,1,3,3,1,04odye62,,,,,0
14,l5jtfbfs,,1,49,48,Pay,MyPage,2025-10-21 19:40:42.127236,1,,,0.0,4,,0.0,62,0.0,3,,,"['f9p6511c', '7dq83p5c', 'dcmyqmnf']",1,-1,0,,,,,,Provide help with moving in,0,0,"[0, 0, 0]",3,15,14,1,5,15,3,N04,0,0,p50,"[0, -1, -1, -1]",-1,0,3,1,3,3,1,04odye62,,,,,0
15,dcmyqmnf,,1,49,48,Pay,MyPage,2025-10-21 19:40:42.135234,1,,,0.0,3,,0.0,63,0.0,3,,,"['f9p6511c', '7dq83p5c', 'l5jtfbfs']",0,-1,0,,,,,,Let the family move in,0,0,"[0, 0, 1]",3,15,15,1,5,15,3,N04,0,0,p50,"[0, -1, -1, -1]",-1,0,3,1,3,3,1,04odye62,,,,,0
16,f9p6511c,,1,49,48,Pay,MyPage,2025-10-21 19:40:42.142243,1,,,0.0,1,,0.0,64,0.0,3,,,"['7dq83p5c', 'dcmyqmnf', 'l5jtfbfs']",0,0,0,,,,,,Let the family move in,0,0,"[0, 0, 1]",3,15,16,1,5,15,3,N04,0,0,p50,"[0, -1, -1, -1]",-1,0,3,1,3,3,1,04odye62,,,,,0
17,jj776lrn,,1,49,48,Pay,MyPage,2025-10-21 19:40:42.154663,1,,,0.0,3,,0.0,65,0.0,3,,,,,,0,,,,,,,0,,,3,18,17,1,6,18,3,single,,,,,,0,3,1,3,3,1,04odye62,,,,,0
18,6viraraz,,1,49,48,Pay,MyPage,2025-10-21 19:40:42.157894,1,,,0.0,2,,0.0,66,0.0,3,,,,,,0,,,,,,,0,,,3,18,18,1,6,18,3,single,,,,,,0,3,1,3,3,1,04odye62,,,,,0
19,vokbiu9j,,1,49,48,Pay,MyPage,2025-10-21 19:40:42.173787,1,,,0.0,4,,0.0,67,0.0,3,,,,,,0,,,,,,,0,,,3,18,19,1,6,18,3,single,,,,,,0,3,1,3,3,1,04odye62,,,,,0
20,3fiusojt,,1,49,48,Pay,MyPage,2025-10-21 19:40:42.192728,1,,,0.0,1,,0.0,68,0.0,3,,,,,,0,,,,,,,0,,,3,18,20,1,6,18,3,single,,,,,,0,3,1,3,3,1,04odye62,,,,,0
21,kr4w2a1s,,1,49,48,Pay,MyPage,2025-10-21 19:40:42.209225,1,,,0.0,1,,0.0,69,0.0,3,,,"['7ls27rx2', 'uao3trmk', 'd4g8nkle']",-1,0,0,,,,,,Interview the family first,0,99,"[1, -1, 0]",3,21,21,1,7,21,3,N04,0,0,p00,"[0, -1, -1, 1]",-1,0,3,1,3,3,1,04odye62,,,,,0
22,uao3trmk,,1,49,48,Pay,MyPage,2025-10-21 19:40:42.220872,1,,,0.0,3,,0.0,70,0.0,3,,,"['kr4w2a1s', '7ls27rx2', 'd4g8nkle']",-1,-1,0,,,,,,Interview the family first,0,99,"[-1, 1, 0]",3,21,22,1,7,21,3,N04,0,0,p00,"[0, -1, -1, 1]",-1,0,3,1,3,3,1,04odye62,,,,,0
23,d4g8nkle,,1,49,48,Pay,MyPage,2025-10-21 19:40:42.220872,1,,,0.0,4,,0.0,71,0.0,3,,,"['kr4w2a1s', '7ls27rx2', 'uao3trmk']",0,1,0,,,,,,Let the family move in,0,-1,"[-1, 1, -1]",3,21,23,1,7,21,3,N04,0,0,p00,"[0, -1, -1, 1]",-1,0,3,1,3,3,1,04odye62,,,,,0
24,7ls27rx2,,1,49,48,Pay,MyPage,2025-10-21 19:40:42.243411,1,,,0.0,2,,0.0,72,0.0,3,,,"['kr4w2a1s', 'uao3trmk', 'd4g8nkle']",1,-1,0,,,,,,Provide help with moving in,0,-1,"[-1, -1, 0]",3,21,24,1,7,21,3,N04,0,0,p00,"[0, -1, -1, 1]",-1,0,3,1,3,3,1,04odye62,,,,,0
